status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,ASB11,"ankyrin repeat and SOCS box containing 11",,X,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,0,5
9,ASB14,"ankyrin repeat and SOCS box containing 14",,3,"Rare Single Gene Mutation",2,0,,5
9,ASH1L,"Ash1 (absent, small, or homeotic)-like (Drosophila)",,1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,14.15,51
9,ASMT,"acetylserotonin O-methyltransferase",,"X,Y","Rare Single Gene Mutation, Genetic Association",2,0,,11
9,ASPM,"abnormal spindle microtubule assembly",,1,"Rare Single Gene Mutation, Syndromic, Functional",2,0,,16
9,ASTN2,"astrotactin 2",,9,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,2.5,26
9,ASXL3,"Additional sex combs like 3 (Drosophila)",,18,"Rare Single Gene Mutation, Syndromic",1,1,28.85,63
9,ATP10A,"Probable phospholipid-transporting ATPase VA",,15,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,11
9,ATP1A1,"ATPase Na+/K+ transporting subunit alpha 1",,1,"Rare Single Gene Mutation, Syndromic",2,1,,11
9,ATP1A3,"ATPase Na+/K+ transporting subunit alpha 3",,19,"Rare Single Gene Mutation, Syndromic, Functional",2,1,,27
9,ATP2B1,"ATPase plasma membrane Ca2+ transporting 1",,12,"Rare Single Gene Mutation, Syndromic",3,1,,3
9,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",,3,"Rare Single Gene Mutation, Genetic Association",2,0,,18
9,ATP6V0A2,"ATPase H+ transporting V0 subunit a2",,12,"Rare Single Gene Mutation",2,0,,5
9,ATP9A,"ATPase phospholipid transporting 9A",,20,"Rare Single Gene Mutation, Syndromic",3,1,,6
9,ATRX,"alpha thalassemia/mental retardation syndrome X-linked",,X,"Rare Single Gene Mutation, Syndromic, Functional",1,0,9.25,42
9,ATXN2,"ataxin 2",,12,"Rare Single Gene Mutation",3,0,,3
9,AUTS2,"activator of transcription and developmental regulatorAUTS2",,7,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,35.5,81
9,AVPR1A,"arginine vasopressin receptor 1A",,12,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,26
9,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",,7,"Rare Single Gene Mutation",2,0,,4
9,BACE1,"beta-secretase 1",,11,"Rare Single Gene Mutation, Functional",3,0,,4
9,BAIAP2L1,"BAR/IMD domain containing adaptor protein 2 like 1",,7,"Rare Single Gene Mutation",3,0,,6
9,BAZ2B,"bromodomain adjacent to zinc finger domain 2B",,2,"Rare Single Gene Mutation",1,0,7.35,9
9,BBS4,"Bardet-Biedl syndrome 4",,15,"Rare Single Gene Mutation, Syndromic",2,0,,7
9,BCAS1,"breast carcinoma amplified sequence 1",,20,"Rare Single Gene Mutation",2,0,,6
9,BCKDK,"Branched chain ketoacid dehydrogenase kinase",,16,"Rare Single Gene Mutation",1,0,3.1,10
9,BCL11A,"B-cell CLL/lymphoma 11A (zinc finger protein)",,2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,9.15,34
9,BCL11B,"BCL11 transcription factor B",,14,"Rare Single Gene Mutation, Syndromic, Functional",3,0,,11
9,BCORL1,"BCL6 corepressor like 1",,X,"Rare Single Gene Mutation, Syndromic",,1,,10
9,BICRA,"BRD4 interacting chromatin remodeling complex associated protein",,19,"Rare Single Gene Mutation, Syndromic",2,1,,5
9,BIRC6,"Baculoviral IAP repeat containing 6",,2,"Rare Single Gene Mutation",2,0,,17
9,BRAF,"v-raf murine sarcoma viral oncogene homolog B",,7,"Rare Single Gene Mutation, Syndromic",1,1,13.05,23
9,BRCA2,"breast cancer 2, early onset",,13,"Rare Single Gene Mutation",2,0,,10
9,BRD4,"bromodomain containing 4",,19,"Rare Single Gene Mutation, Syndromic, Functional",2,0,,13
9,BRINP3,"BMP/retinoic acid inducible neural specific 3",,1,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,,4
9,BRSK2,"BR serine/threonine kinase 2",,11,"Rare Single Gene Mutation, Syndromic, Functional",1,1,7.7,16
9,BRWD3,"bromodomain and WD repeat domain containing 3",,X,"Rare Single Gene Mutation, Syndromic",,1,,10
9,BSN,"bassoon presynaptic cytomatrix protein",,3,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,,12
9,BST1,"bone marrow stromal cell antigen 1",,4,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,,6
